#,id,data_year,from_age,to_age,sum,man,woman
1,1,2010,0,104,1332810869,682329104,650481765
2,2,2010,0,0,13786434,7461199,6325235
3,3,2010,1,4,61746176,33601367,28144809
4,4,2010,5,9,70881549,38464665,32416884
5,5,2010,10,14,74908462,40267277,34641185
6,6,2010,15,19,99889114,51904830,47984284
7,7,2010,20,24,127412518,64008573,63403945
8,8,2010,25,29,101013852,50837038,50176814
9,9,2010,30,34,97138203,49521822,47616381
10,10,2010,35,39,118025959,60391104,57634855
11,11,2010,40,44,124753964,63608678,61145286
12,12,2010,45,49,105594553,53776418,51818135
13,13,2010,50,54,78753171,40363234,38389937
14,14,2010,55,59,81312474,41082938,40229536
15,15,2010,60,64,58667282,29834426,28832856
16,16,2010,65,69,41113282,20748471,20364811
17,17,2010,70,74,32972397,16403453,16568944
18,18,2010,75,79,23852133,11278859,12573274
19,19,2010,80,84,13373198,5917502,7455696
20,20,2010,85,89,5631928,2199810,3432118
21,21,2010,90,94,1578307,530872,1047435
22,22,2010,95,99,369979,117716,252263
23,23,2010,100,104,35934,8852,27082
